Monarch,Lineage,Weight,Longevity
1,1,0.6571,11
2,1,0.6555,11
3,1,NA,NA
4,1,NA,NA
5,1,NA,NA
6,1,0.6173,18
7,1,NA,NA
8,1,0.7199,22
9,1,0.7128,9
10,1,0.5291,20
11,1,0.5947,14
12,1,0.7394,20
13,1,0.3899,5
14,1,0.5962,15
15,1,NA,NA
16,1,NA,NA
17,1,0.8283,16
18,1,NA,NA
19,1,0.3461,16
20,1,0.8112,22
21,1,0.7828,10
22,1,0.7569,16
23,1,0.7041,7
24,1,0.7449,21
25,1,NA,NA
26,1,0.7896,16
27,1,0.4677,10
28,1,0.4379,10
29,1,0.7271,21
30,1,NA,NA
31,1,0.6138,12
32,1,0.7244,16
33,1,0.5625,7
34,1,0.6482,15
35,1,0.6689,3
36,1,0.5906,16
37,1,NA,NA
38,1,0.7187,21
39,1,0.6567,14
40,1,0.5617,20
41,1,0.5369,14
42,1,0.7415,9
43,1,0.6642,16
44,1,0.4682,9
45,1,0.7514,16
46,1,0.6385,14
47,1,0.6279,10
48,1,0.7237,16
49,1,NA,NA
50,1,0.6611,21
51,1,0.0094,10
52,1,0.6447,11
53,1,0.7781,16
54,1,0.6263,16
55,1,1.2349,8
56,1,0.4401,1
57,1,0.7712,16
58,1,0.6539,5
59,1,0.6527,13
60,1,0.4117,19
61,1,0.6281,8
62,1,NA,NA
63,1,0.7062,15
64,1,0.6309,10
65,1,0.7104,16
66,1,NA,NA
67,1,0.7046,15
68,1,0.644,8
69,1,0.6842,10
70,1,0.6232,22
71,1,0.7813,10
72,1,0.6503,11
73,1,0.9145,12
74,1,0.6323,11
75,1,NA,NA
76,1,0.7473,14
77,1,0.569,13
78,1,0.6351,15
79,1,0.584,13
80,1,0.823,24
81,1,1.0064,15
82,1,NA,NA
83,1,0.9513,16
84,1,0.6652,11
85,1,0.7668,16
86,1,NA,NA
87,1,0.5967,7
88,1,NA,NA
89,1,1.3864,5
90,1,0.718,22
91,1,0.6673,13
92,1,0.7401,10
93,1,NA,NA
94,1,0.7839,15
95,1,0.6451,15
96,1,0.4978,12
97,1,0.5426,15
98,1,NA,NA
99,1,0.6795,9
100,1,0.7221,22
501,1,0.5885,14
502,1,0.5217,15
503,1,NA,NA
504,1,0.9919,14
505,1,0.4586,17
506,1,0.5789,16
507,1,0.643,13
508,1,0.6407,15
509,1,0.5985,21
510,1,0.6661,19
101,2,0.6434,12
102,2,NA,NA
103,2,NA,NA
104,2,NA,NA
105,2,0.6162,15
106,2,NA,NA
107,2,0.7438,14
108,2,NA,NA
109,2,NA,NA
110,2,NA,NA
111,2,0.5384,5
112,2,0.5401,10
113,2,NA,NA
114,2,0.4865,16
115,2,0.8917,16
116,2,0.6467,14
117,2,NA,NA
118,2,NA,NA
119,2,NA,NA
120,2,NA,NA
121,2,NA,NA
122,2,NA,NA
123,2,0.5805,9
124,2,NA,NA
125,2,NA,NA
126,2,0.6547,17
127,2,NA,NA
128,2,0.6584,11
129,2,NA,NA
130,2,NA,NA
131,2,NA,NA
132,2,NA,NA
133,2,NA,NA
134,2,0.6541,12
135,2,NA,NA
136,2,NA,NA
137,2,NA,NA
138,2,NA,NA
139,2,NA,NA
140,2,0.6516,21
141,2,NA,NA
142,2,NA,NA
143,2,NA,NA
144,2,NA,NA
145,2,NA,NA
146,2,NA,NA
147,2,NA,NA
148,2,0.5797,14
149,2,NA,NA
150,2,0.7447,24
151,2,NA,NA
152,2,NA,NA
153,2,NA,NA
154,2,NA,NA
155,2,NA,NA
156,2,NA,NA
157,2,0.6296,6
158,2,NA,NA
159,2,NA,NA
160,2,NA,NA
161,2,NA,NA
162,2,NA,NA
163,2,NA,NA
164,2,NA,NA
165,2,0.4225,3
166,2,NA,NA
167,2,NA,NA
168,2,NA,NA
169,2,NA,NA
170,2,0.7205,30
171,2,0.7636,10
172,2,0.7609,12
173,2,NA,NA
174,2,0.6816,5
175,2,NA,NA
176,2,NA,NA
177,2,NA,NA
178,2,NA,NA
179,2,NA,NA
180,2,0.6629,19
181,2,NA,NA
182,2,NA,NA
183,2,NA,NA
184,2,NA,NA
185,2,0.7065,23
186,2,NA,NA
187,2,0.8894,11
188,2,NA,NA
189,2,NA,NA
190,2,NA,NA
191,2,NA,NA
192,2,NA,NA
193,2,NA,NA
194,2,NA,NA
195,2,0.7101,6
196,2,NA,NA
197,2,NA,NA
198,2,NA,NA
199,2,NA,NA
200,2,0.7519,22
511,2,NA,NA
512,2,NA,NA
513,2,NA,NA
514,2,NA,NA
515,2,NA,NA
516,2,0.5153,5
517,2,0.8572,12
518,2,NA,NA
519,2,0.6199,16
520,2,NA,NA
201,3,0.6066,17
202,3,NA,NA
203,3,0.5074,16
204,3,0.6353,13
205,3,0.5293,17
206,3,0.595,15
207,3,NA,NA
208,3,0.607,16
209,3,0.626,15
210,3,0.6555,23
211,3,0.4977,1
212,3,NA,NA
213,3,0.5552,1
214,3,0.6623,13
215,3,0.3171,5
216,3,NA,NA
217,3,0.8806,22
218,3,NA,NA
219,3,0.4416,13
220,3,0.4697,16
221,3,0.7495,21
222,3,NA,NA
223,3,0.6408,15
224,3,0.6301,19
225,3,0.4772,18
226,3,NA,NA
227,3,0.5833,15
228,3,NA,NA
229,3,0.7795,16
230,3,0.8515,29
231,3,NA,NA
232,3,0.6612,15
233,3,0.4541,8
234,3,0.4224,4
235,3,0.5456,10
236,3,0.4579,9
237,3,0.516,16
238,3,NA,NA
239,3,0.6008,15
240,3,NA,NA
241,3,0.5552,14
242,3,NA,NA
243,3,0.6739,22
244,3,NA,NA
245,3,1.0369,8
246,3,0.7106,8
247,3,0.6277,12
248,3,0.4629,13
249,3,NA,NA
250,3,NA,NA
251,3,NA,NA
252,3,NA,NA
253,3,0.5746,10
254,3,0.502,9
255,3,0.7411,12
256,3,NA,NA
257,3,NA,NA
258,3,NA,NA
259,3,NA,NA
260,3,0.7198,17
261,3,0.5321,12
262,3,0.7193,16
263,3,0.6567,13
264,3,0.6671,16
265,3,0.5293,15
266,3,0.6188,12
267,3,0.6555,16
268,3,0.7647,16
269,3,0.5807,15
270,3,NA,NA
271,3,0.6644,16
272,3,NA,NA
273,3,0.5986,10
274,3,0.6483,7
275,3,NA,NA
276,3,0.6843,23
277,3,0.7611,9
278,3,0.5202,7
279,3,0.4777,17
280,3,0.523,17
281,3,NA,NA
282,3,0.5518,10
283,3,NA,NA
284,3,0.6735,17
285,3,0.5833,21
286,3,0.6626,10
287,3,0.7259,10
288,3,0.8246,14
289,3,0.796,16
290,3,0.8077,21
291,3,0.6486,17
292,3,0.7,15
293,3,0.5654,1
294,3,NA,NA
295,3,0.7468,11
296,3,NA,NA
297,3,0.6769,18
298,3,0.5947,11
299,3,0.637,10
300,3,0.6347,20
521,3,NA,NA
522,3,NA,NA
523,3,NA,NA
524,3,0.6672,18
525,3,0.4905,17
526,3,NA,NA
527,3,NA,NA
528,3,0.5976,17
529,3,0.6938,10
530,3,0.5924,21
301,4,NA,NA
302,4,0.5683,12
303,4,0.6963,16
304,4,0.6469,5
305,4,NA,NA
306,4,0.7643,15
307,4,NA,NA
308,4,NA,NA
309,4,NA,NA
310,4,NA,NA
311,4,NA,NA
312,4,0.8346,21
313,4,NA,NA
314,4,NA,NA
315,4,0.6116,10
316,4,0.66,23
317,4,NA,NA
318,4,0.6505,16
319,4,NA,NA
320,4,NA,NA
321,4,0.4566,14
322,4,NA,NA
323,4,0.5765,14
324,4,0.5843,1
325,4,NA,NA
326,4,NA,NA
327,4,NA,NA
328,4,NA,NA
329,4,NA,NA
330,4,0.6136,21
331,4,NA,NA
332,4,0.748,11
333,4,NA,NA
334,4,NA,NA
335,4,NA,NA
336,4,NA,NA
337,4,NA,NA
338,4,0.5857,10
339,4,NA,NA
340,4,NA,NA
341,4,NA,NA
342,4,NA,NA
343,4,0.6755,20
344,4,0.7099,16
345,4,0.5641,13
346,4,0.6174,11
347,4,NA,NA
348,4,0.7797,7
349,4,NA,NA
350,4,NA,NA
351,4,0.5643,14
352,4,NA,NA
353,4,0.6366,17
354,4,NA,NA
355,4,NA,NA
356,4,NA,NA
357,4,NA,NA
358,4,NA,NA
359,4,NA,NA
360,4,0.6262,16
361,4,0.5798,8
362,4,0.2693,10
363,4,NA,NA
364,4,0.7463,11
365,4,0.7429,15
366,4,0.6192,10
367,4,NA,NA
368,4,0.6723,16
369,4,NA,NA
370,4,0.8267,19
371,4,0.7015,9
372,4,NA,NA
373,4,NA,NA
374,4,NA,NA
375,4,NA,NA
376,4,0.4832,6
377,4,0.7387,9
378,4,NA,NA
379,4,NA,NA
380,4,0.6263,21
381,4,0.798,11
382,4,0.5593,16
383,4,NA,NA
384,4,0.7368,11
385,4,NA,NA
386,4,NA,NA
387,4,NA,NA
388,4,NA,NA
389,4,0.6729,NA
390,4,0.6648,16
391,4,NA,NA
392,4,0.4137,15
393,4,NA,NA
394,4,0.7168,15
395,4,0.7286,8
396,4,NA,NA
397,4,0.7066,16
398,4,NA,NA
399,4,0.4056,5
400,4,0.7178,17
531,4,NA,NA
532,4,0.7577,3
533,4,NA,NA
534,4,0.7022,8
535,4,0.6816,16
536,4,NA,NA
537,4,NA,NA
538,4,NA,NA
539,4,NA,NA
540,4,0.6968,21
401,5,NA,NA
402,5,0.6129,15
403,5,NA,NA
404,5,0.6092,12
405,5,0.5722,16
406,5,0.7863,16
407,5,NA,NA
408,5,NA,NA
409,5,0.6206,11
410,5,0.5407,16
411,5,0.6909,16
412,5,0.7515,14
413,5,0.7042,18
414,5,0.7003,16
415,5,0.7297,16
416,5,0.5683,17
417,5,0.6769,17
418,5,0.5341,16
419,5,0.6813,17
420,5,0.7419,23
421,5,0.4942,17
422,5,0.7817,8
423,5,0.6584,17
424,5,NA,NA
425,5,0.5864,13
426,5,0.61,15
427,5,0.7215,16
428,5,0.3178,7
429,5,NA,NA
430,5,0.5956,20
431,5,0.5306,17
432,5,0.5647,13
433,5,0.7365,15
434,5,0.653,20
435,5,0.4498,9
436,5,0.6216,21
437,5,0.6373,16
438,5,NA,NA
439,5,0.4874,13
440,5,0.611,27
441,5,0.6756,10
442,5,0.469,12
443,5,NA,16
444,5,0.5121,14
445,5,0.6675,13
446,5,0.5351,17
447,5,0.7529,10
448,5,0.5247,8
449,5,0.6072,16
450,5,0.6826,22
451,5,1.0186,7
452,5,0.7528,6
453,5,0.6905,15
