Monarch,Lineage,Weight,Longevity
1,12,0.7599,15
2,12,0.9154,12
3,12,0.7454,16
4,12,0.6534,14
5,12,0.7153,13
6,12,0.6958,11
7,12,0.7855,10
8,12,0.9214,11
9,12,0.8223,7
10,12,0.771,29
11,12,0.6491,9
12,12,0.5706,8
13,12,0.6408,8
14,12,0.7106,8
15,12,0.6414,8
16,12,0.6665,8
17,12,0.8861,8
18,12,0.8023,10
19,12,0.524,6
20,12,0.6469,24
21,12,0.7455,10
22,12,0.5389,7
23,12,0.6382,9
24,12,0.6299,9
25,12,1.1561,11
26,12,0.7133,12
27,12,0.6563,8
28,12,0.6732,10
29,12,0.5757,9
30,12,0.651,24
31,12,0.9073,5
32,12,0.6651,8
33,12,0.7747,5
34,12,0.7911,6
35,12,0.7755,12
36,12,0.5281,11
37,12,NA,NA
38,12,0.7748,9
39,12,0.5659,8
40,12,0.7254,24
41,12,0.647,7
42,12,0.7245,7
43,12,0.8254,8
44,12,0.9152,7
45,12,0.9213,9
46,12,0.7147,7
47,12,0.7388,9
48,12,0.6214,6
49,12,0.7775,11
50,12,0.794,23
51,12,0.6349,8
52,12,0.6995,7
53,12,0.5548,7
54,12,0.6695,15
55,12,0.505,7
56,12,0.7507,9
57,12,0.6536,7
58,12,0.653,9
59,12,0.9129,19
60,12,0.9475,30
61,12,0.7538,7
62,12,0.5635,9
63,12,0.6707,11
64,12,0.7372,8
65,12,0.554,6
66,12,1.0825,14
67,12,0.6922,13
68,12,NA,NA
69,12,0.6333,6
70,12,0.9806,23
71,12,0.7852,9
72,12,0.6669,5
73,12,0.8366,9
74,12,0.68,9
75,12,0.5424,5
76,12,0.6889,7
77,12,NA,NA
78,12,0.4739,9
79,12,0.5002,5
80,12,0.9368,25
81,12,0.6086,6
82,12,0.8001,7
83,12,0.6436,9
84,12,0.6318,11
85,12,0.632,7
86,12,0.7492,7
87,12,0.7832,7
88,12,0.8008,8
89,12,0.704,7
90,12,0.7525,25
91,12,0.6578,7
92,12,0.6625,9
93,12,0.867,7
94,12,0.6034,6
95,12,0.6585,6
96,12,0.7007,7
97,12,0.6429,11
98,12,0.6618,5
99,12,0.6721,10
100,12,0.556,22
101,13,0.6465,14
102,13,0.5946,9
103,13,0.7952,11
104,13,0.6514,11
105,13,0.6647,13
106,13,0.7066,9
107,13,0.6745,8
108,13,0.6338,13
109,13,0.5877,14
110,13,0.7145,34
111,13,0.6437,6
112,13,0.6237,5
113,13,0.4599,6
114,13,0.5775,9
115,13,NA,NA
116,13,0.711,24
117,13,0.954,5
118,13,0.6673,12
119,13,0.5904,9
120,13,0.692,24
121,13,0.731,9
122,13,0.5835,8
923,13,0.5631,8
124,13,0.6436,11
125,13,0.5637,7
126,13,0.5334,10
127,13,0.9651,13
128,13,NA,NA
129,13,0.607,6
130,13,0.6967,23
131,13,0.549,21
132,13,0.6432,9
133,13,0.5647,8
134,13,0.5602,8
135,13,0.6627,24
136,13,0.7641,8
137,13,NA,NA
138,13,0.7571,5
139,13,0.6175,9
140,13,0.75,24
141,13,0.6342,8
142,13,0.6212,13
143,13,NA,NA
144,13,0.6701,14
145,13,NA,NA
146,13,NA,NA
147,13,1.072,16
148,13,0.8042,10
149,13,0.6806,10
150,13,0.6169,17
151,13,0.6971,6
152,13,0.785,11
153,13,0.6668,10
154,13,0.637,6
155,13,0.5794,13
156,13,0.7527,8
157,13,0.7215,5
158,13,1.0571,13
159,13,0.6853,7
160,13,0.5523,18
161,13,0.6798,9
162,13,0.666,13
163,13,0.754,19
164,13,0.5732,11
165,13,0.7344,9
166,13,0.6371,10
167,13,0.6573,7
168,13,0.658,9
169,13,0.6089,8
170,13,0.6995,18
171,13,0.7067,4
172,13,0.7609,5
173,13,0.6815,7
174,13,0.6438,7
175,13,0.8597,8
176,13,0.6732,23
177,13,0.7307,5
178,13,0.7432,7
179,13,0.6448,6
180,13,NA,NA
181,13,0.6424,18
182,13,0.7503,7
183,13,0.7464,9
184,13,0.5954,9
185,13,0.5984,7
186,13,0.5736,9
187,13,0.7087,10
188,13,0.7591,5
189,13,0.5824,8
190,13,0.6844,24
191,13,0.6745,8
192,13,0.6466,8
193,13,NA,NA
194,13,0.6004,7
195,13,0.5611,7
196,13,0.7713,8
197,13,0.7347,10
198,13,0.6857,4
199,13,0.5559,9
200,13,0.6679,22
201,14,0.6165,8
202,14,0.6698,14
203,14,0.5233,7
204,14,0.5251,7
205,14,0.7236,8
206,14,0.6809,10
207,14,0.7092,10
208,14,0.6499,7
209,14,0.5319,6
210,14,0.6491,22
211,14,0.5928,7
212,14,0.5143,7
213,14,NA,NA
214,14,0.5968,10
215,14,0.6327,7
216,14,NA,NA
217,14,0.5924,16
218,14,0.6009,7
219,14,0.5404,8
220,14,NA,NA
221,14,NA,NA
222,14,NA,NA
223,14,0.7779,7
224,14,0.935,8
225,14,0.6639,7
226,14,0.4224,7
227,14,NA,NA
228,14,0.6548,10
229,14,0.4911,7
230,14,0.6813,26
231,14,0.6131,7
232,14,0.8074,3
233,14,0.6989,4
234,14,0.5404,7
235,14,0.5759,8
236,14,0.5208,7
237,14,0.6034,6
238,14,0.6574,10
239,14,0.6095,7
240,14,0.4947,21
241,14,0.6431,7
242,14,NA,NA
