Monarch,Lineage,Monarch Pop,Parasite,Parasite Pop,Inoc Date,Hatch Date,Pupation,Pupal Score,Emergence,Sex,Weight,Death,Longevity,Logspore,Sqrtspore,survived,inoculated,Infected
37,12,Eastern10,C1E27,Eastern10,5/14/2011,5/12/2011,5/22/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
68,12,Eastern10,C1F19,Miami,5/15/2011,5/13/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
77,12,Eastern10,C1F20,Miami,5/15/2011,5/13/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
115,13,Eastern10,C1E25,Eastern10,5/15/2011,5/13/2011,5/25/2011,3,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
128,13,Eastern10,C1E26,Eastern10,5/15/2011,5/13/2011,5/26/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
137,13,Eastern10,C1E27,Eastern10,5/15/2011,5/13/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
143,13,Eastern10,C1E28,Eastern10,5/15/2011,5/13/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
145,13,Eastern10,C1E28,Eastern10,5/15/2011,5/13/2011,5/25/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
146,13,Eastern10,C1E28,Eastern10,5/15/2011,5/13/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
180,13,Eastern10,Control,Miami,5/15/2011,5/13/2011,5/26/2011,0,NA,NA,NA,NA,NA,NA,NA,no,no,NA
193,13,Eastern10,C1F22,Miami,5/15/2011,5/12/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
213,14,Eastern10,C1E25,Eastern10,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
216,14,Eastern10,C1E25,Eastern10,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
220,14,Eastern10,Control,Eastern10,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
221,14,Eastern10,C1E26,Eastern10,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
222,14,Eastern10,C1E26,Eastern10,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
227,14,Eastern10,C1E26,Eastern10,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
242,14,Eastern10,C1E28,Eastern10,5/16/2011,5/15/2011,5/26/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
257,14,Eastern10,C1F18,Miami,5/16/2011,5/15/2011,5/26/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
272,14,Eastern10,C1F20,Miami,5/16/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
276,14,Eastern10,C1F20,Miami,5/16/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
277,14,Eastern10,C1F20,Miami,5/16/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
278,14,Eastern10,C1F20,Miami,5/16/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
279,14,Eastern10,C1F20,Miami,5/16/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
280,14,Eastern10,Control,Miami,5/16/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
281,14,Eastern10,C1F21,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
284,14,Eastern10,C1F21,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
285,14,Eastern10,C1F21,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
287,14,Eastern10,C1F21,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
288,14,Eastern10,C1F21,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
290,14,Eastern10,Control,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
291,14,Eastern10,C1F22,Miami,5/17/2011,5/15/2011,5/26/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
292,14,Eastern10,C1F22,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
293,14,Eastern10,C1F22,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
294,14,Eastern10,C1F22,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
295,14,Eastern10,C1F22,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
297,14,Eastern10,C1F22,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
298,14,Eastern10,C1F22,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
299,14,Eastern10,C1F22,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
300,14,Eastern10,Control,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
303,15,Eastern10,C1E23,Eastern10,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
305,15,Eastern10,C1E23,Eastern10,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
308,15,Eastern10,C1E23,Eastern10,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
322,15,Eastern10,C1E26,Eastern10,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
324,15,Eastern10,C1E26,Eastern10,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
329,15,Eastern10,C1E26,Eastern10,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
331,15,Eastern10,C1E27,Eastern10,5/17/2011,5/15/2011,5/27/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
333,15,Eastern10,C1E27,Eastern10,5/17/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
334,15,Eastern10,C1E27,Eastern10,5/17/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
337,15,Eastern10,C1E27,Eastern10,5/17/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
339,15,Eastern10,C1E27,Eastern10,5/17/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
340,15,Eastern10,Control,Eastern10,5/17/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
346,15,Eastern10,C1E28,Eastern10,5/17/2011,5/16/2011,5/28/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
347,15,Eastern10,C1E28,Eastern10,5/17/2011,5/16/2011,5/29/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
348,15,Eastern10,C1E28,Eastern10,5/17/2011,5/16/2011,5/28/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
349,15,Eastern10,C1E28,Eastern10,5/17/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
351,15,Eastern10,C1F18,Miami,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
354,15,Eastern10,C1F18,Miami,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
356,15,Eastern10,C1F18,Miami,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
358,15,Eastern10,C1F18,Miami,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
359,15,Eastern10,C1F18,Miami,5/16/2011,5/14/2011,5/28/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
362,15,Eastern10,C1F19,Miami,5/16/2011,5/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
367,15,Eastern10,C1F19,Miami,5/17/2011,5/15/2011,5/28/2011,5,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
371,15,Eastern10,C1F20,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
372,15,Eastern10,C1F20,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
382,15,Eastern10,C1F21,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
397,15,Eastern10,C1F22,Miami,5/18/2011,5/16/2011,5/27/2011,3,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
411,16,Eastern10,C1E25,Eastern10,5/17/2011,5/13/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
418,16,Eastern10,C1E25,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
419,16,Eastern10,C1E25,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
420,16,Eastern10,Control,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
421,16,Eastern10,C1E26,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
422,16,Eastern10,C1E26,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
423,16,Eastern10,C1E26,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
426,16,Eastern10,C1E26,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
427,16,Eastern10,C1E26,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
428,16,Eastern10,C1E26,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
429,16,Eastern10,C1E26,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
430,16,Eastern10,Control,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
432,16,Eastern10,C1E27,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
433,16,Eastern10,C1E27,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
434,16,Eastern10,C1E27,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
435,16,Eastern10,C1E27,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
438,16,Eastern10,C1E27,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
440,16,Eastern10,Control,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
441,16,Eastern10,C1E28,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
442,16,Eastern10,C1E28,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
444,16,Eastern10,C1E28,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
448,16,Eastern10,C1E28,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
449,16,Eastern10,C1E28,Eastern10,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
455,16,Eastern10,C1F18,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
458,16,Eastern10,C1F18,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
459,16,Eastern10,C1F18,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
460,16,Eastern10,Control,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
466,16,Eastern10,C1F19,Miami,5/17/2011,5/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
467,16,Eastern10,C1F19,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
468,16,Eastern10,C1F19,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
469,16,Eastern10,C1F19,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
470,16,Eastern10,Control,Miami,5/18/2011,5/16/2011,5/27/2011,0,NA,NA,NA,NA,NA,NA,NA,no,no,NA
471,16,Eastern10,C1F20,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
472,16,Eastern10,C1F20,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
473,16,Eastern10,C1F20,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
474,16,Eastern10,C1F20,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
475,16,Eastern10,C1F20,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
476,16,Eastern10,C1F20,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
477,16,Eastern10,C1F20,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
478,16,Eastern10,C1F20,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
479,16,Eastern10,C1F20,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
482,16,Eastern10,C1F21,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
483,16,Eastern10,C1F21,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
484,16,Eastern10,C1F21,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
485,16,Eastern10,C1F21,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
486,16,Eastern10,C1F21,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
487,16,Eastern10,C1F21,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
488,16,Eastern10,C1F21,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
489,16,Eastern10,C1F21,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
490,16,Eastern10,Control,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
491,16,Eastern10,C1F22,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
492,16,Eastern10,C1F22,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
493,16,Eastern10,C1F22,Miami,5/18/2011,5/16/2011,5/28/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
495,16,Eastern10,C1F22,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
496,16,Eastern10,C1F22,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
497,16,Eastern10,C1F22,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
498,16,Eastern10,C1F22,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
499,16,Eastern10,C1F22,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
500,16,Eastern10,Control,Miami,5/18/2011,5/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,NA
501,17,Miami,C1E23,Eastern10,6/17/2011,6/15/2011,6/27/2011,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
