Monarch,Lineage,Monarch Pop,Parasite,Parasite Pop,Inoc Date,Hatch Date,Pupation,Pupal Score,Emergence,Sex,Weight,Death,Longevity,Logspore,Sqrtspore,survived,inoculated,Infected
1,1,Eastern09,C1E14,Eastern09,7/3/2010,7/1/2010,7/11/2010,3,7/20/2010,m,0.6571,7/31/2010,11,5.501745097,563.4713832,yes,yes,yes
2,1,Eastern09,C1E14,Eastern09,7/3/2010,7/1/2010,7/12/2010,5,7/21/2010,m,0.6555,8/1/2010,11,5.337461258,466.3689526,yes,yes,yes
3,1,Eastern09,C1E14,Eastern09,7/6/2010,7/4/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
4,1,Eastern09,C1E14,Eastern09,7/6/2010,7/4/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
5,1,Eastern09,C1E14,Eastern09,7/6/2010,7/4/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
6,1,Eastern09,C1E14,Eastern09,7/6/2010,7/4/2010,7/17/2010,2,7/25/2010,m,0.6173,8/12/2010,18,5.070041563,342.7827301,yes,yes,yes
7,1,Eastern09,C1E14,Eastern09,7/6/2010,7/4/2010,7/16/2010,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
8,1,Eastern09,C1E14,Eastern09,7/6/2010,7/4/2010,7/19/2010,0,7/27/2010,m,0.7199,8/18/2010,22,0,0,yes,yes,no
9,1,Eastern09,C1E14,Eastern09,7/6/2010,7/4/2010,7/16/2010,4,7/24/2010,m,0.7128,8/2/2010,9,5.711808072,717.6350044,yes,yes,yes
10,1,Eastern09,Control,Eastern09,7/6/2010,7/4/2010,7/15/2010,0,7/23/2010,f,0.5291,8/12/2010,20,0,0,yes,no,no
11,1,Eastern09,C1E17,Eastern09,7/4/2010,7/2/2010,7/14/2010,5,7/22/2010,f,0.5947,8/5/2010,14,6.054038594,1064.189832,yes,yes,yes
12,1,Eastern09,C1E17,Eastern09,7/4/2010,7/2/2010,7/14/2010,2,7/23/2010,m,0.7394,8/12/2010,20,5.161370997,380.7886551,yes,yes,yes
13,1,Eastern09,C1E17,Eastern09,7/4/2010,7/2/2010,7/20/2010,4,7/28/2010,f,0.3899,8/2/2010,5,6.126294115,1156.50335,yes,yes,yes
14,1,Eastern09,C1E17,Eastern09,7/4/2010,7/2/2010,7/15/2010,3,7/23/2010,m,0.5962,8/7/2010,15,5.562294054,604.1522985,yes,yes,yes
15,1,Eastern09,C1E17,Eastern09,7/4/2010,7/2/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
16,1,Eastern09,C1E17,Eastern09,7/4/2010,7/2/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
17,1,Eastern09,C1E17,Eastern09,7/4/2010,7/2/2010,7/14/2010,3,7/22/2010,f,0.8283,8/7/2010,16,4.903095416,282.8427126,yes,yes,yes
18,1,Eastern09,C1E17,Eastern09,7/4/2010,7/2/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
19,1,Eastern09,C1E17,Eastern09,7/4/2010,7/2/2010,7/13/2010,NA,7/22/2010,f,0.3461,8/7/2010,16,0,0,yes,yes,no
20,1,Eastern09,Control,Eastern09,7/4/2010,7/2/2010,7/14/2010,0,7/22/2010,m,0.8112,8/13/2010,22,0,0,yes,no,no
21,1,Eastern09,C1E18,Eastern09,7/4/2010,7/2/2010,7/14/2010,5,7/22/2010,m,0.7828,8/1/2010,10,5.380213051,489.8979484,yes,yes,yes
22,1,Eastern09,C1E18,Eastern09,7/4/2010,7/2/2010,7/14/2010,4,7/22/2010,f,0.7569,8/7/2010,16,6.068186233,1081.665383,yes,yes,yes
23,1,Eastern09,C1E18,Eastern09,7/4/2010,7/2/2010,7/15/2010,4,7/23/2010,m,0.7041,7/30/2010,7,5.794140053,788.9866915,yes,yes,yes
24,1,Eastern09,C1E18,Eastern09,7/4/2010,7/2/2010,7/14/2010,2,7/22/2010,m,0.7449,8/12/2010,21,4.628399149,206.1552814,yes,yes,yes
25,1,Eastern09,C1E18,Eastern09,7/4/2010,7/2/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA
26,1,Eastern09,C1E18,Eastern09,7/4/2010,7/2/2010,7/13/2010,3,7/21/2010,f,0.7896,8/6/2010,16,5.217486576,406.2019201,yes,yes,yes
27,1,Eastern09,C1E18,Eastern09,7/4/2010,7/2/2010,7/14/2010,5,7/22/2010,f,0.4677,8/1/2010,10,6.133539228,1166.190379,yes,yes,yes
